yr,r,source,units,value
1999,ca,col,million metric tons of carbon dioxide,6.6
1999,co,col,million metric tons of carbon dioxide,34.4
1999,ct,col,million metric tons of carbon dioxide,1.4
1999,de,col,million metric tons of carbon dioxide,3.4
1999,dc,col,million metric tons of carbon dioxide,0.0
1999,fl,col,million metric tons of carbon dioxide,67.6
1999,ga,col,million metric tons of carbon dioxide,73.9
1999,hi,col,million metric tons of carbon dioxide,1.7
1999,id,col,million metric tons of carbon dioxide,0.8
1999,il,col,million metric tons of carbon dioxide,90.4
1999,in,col,million metric tons of carbon dioxide,139.2
1999,ia,col,million metric tons of carbon dioxide,40.8
1999,ks,col,million metric tons of carbon dioxide,31.1
1999,ky,col,million metric tons of carbon dioxide,93.2
1999,la,col,million metric tons of carbon dioxide,21.5
1999,me,col,million metric tons of carbon dioxide,0.6
1999,md,col,million metric tons of carbon dioxide,28.8
1999,ma,col,million metric tons of carbon dioxide,10.7
1999,mi,col,million metric tons of carbon dioxide,78.5
1999,mn,col,million metric tons of carbon dioxide,32.3
1999,ms,col,million metric tons of carbon dioxide,13.0
1999,mo,col,million metric tons of carbon dioxide,64.9
1999,mt,col,million metric tons of carbon dioxide,17.6
1999,ne,col,million metric tons of carbon dioxide,18.7
1999,nv,col,million metric tons of carbon dioxide,17.2
1999,nh,col,million metric tons of carbon dioxide,3.3
1999,nj,col,million metric tons of carbon dioxide,8.4
1999,nm,col,million metric tons of carbon dioxide,28.2
1999,ny,col,million metric tons of carbon dioxide,30.0
1999,nc,col,million metric tons of carbon dioxide,70.1
1999,nd,col,million metric tons of carbon dioxide,38.9
1999,oh,col,million metric tons of carbon dioxide,130.5
1999,ok,col,million metric tons of carbon dioxide,34.1
1999,or,col,million metric tons of carbon dioxide,3.6
1999,pa,col,million metric tons of carbon dioxide,133.3
1999,ri,col,million metric tons of carbon dioxide,0.0
1999,sc,col,million metric tons of carbon dioxide,38.0
1999,sd,col,million metric tons of carbon dioxide,4.4
1999,tn,col,million metric tons of carbon dioxide,61.2
1999,tx,col,million metric tons of carbon dioxide,144.5
1999,ut,col,million metric tons of carbon dioxide,36.2
1999,vt,col,million metric tons of carbon dioxide,0.2
1999,va,col,million metric tons of carbon dioxide,41.9
1999,wa,col,million metric tons of carbon dioxide,9.1
1999,wv,col,million metric tons of carbon dioxide,93.7
1999,wi,col,million metric tons of carbon dioxide,45.4
1999,wy,col,million metric tons of carbon dioxide,46.9
1999,us,col,million metric tons of carbon dioxide,2037.0
2000,al,col,million metric tons of carbon dioxide,85.3
2000,ak,col,million metric tons of carbon dioxide,1.6
2000,az,col,million metric tons of carbon dioxide,40.9
2000,ar,col,million metric tons of carbon dioxide,25.3
2000,ca,col,million metric tons of carbon dioxide,6.6
2000,co,col,million metric tons of carbon dioxide,36.6
2000,ct,col,million metric tons of carbon dioxide,3.4
2000,de,col,million metric tons of carbon dioxide,4.7
2000,dc,col,million metric tons of carbon dioxide,0.0
2000,fl,col,million metric tons of carbon dioxide,71.8
2000,ga,col,million metric tons of carbon dioxide,77.4
2000,hi,col,million metric tons of carbon dioxide,1.7
2000,id,col,million metric tons of carbon dioxide,1.3
2000,il,col,million metric tons of carbon dioxide,95.9
2000,in,col,million metric tons of carbon dioxide,150.2
2000,ia,col,million metric tons of carbon dioxide,42.1
2000,ks,col,million metric tons of carbon dioxide,34.3
2000,ky,col,million metric tons of carbon dioxide,94.1
2000,la,col,million metric tons of carbon dioxide,23.9
2000,me,col,million metric tons of carbon dioxide,0.9
2000,md,col,million metric tons of carbon dioxide,29.5
2000,ma,col,million metric tons of carbon dioxide,10.8
2000,mi,col,million metric tons of carbon dioxide,75.4
2000,mn,col,million metric tons of carbon dioxide,35.3
2000,ms,col,million metric tons of carbon dioxide,13.9
2000,mo,col,million metric tons of carbon dioxide,65.1
2000,mt,col,million metric tons of carbon dioxide,16.7
2000,ne,col,million metric tons of carbon dioxide,19.5
2000,nv,col,million metric tons of carbon dioxide,18.8
2000,nh,col,million metric tons of carbon dioxide,4.2
2000,nj,col,million metric tons of carbon dioxide,10.8
2000,nm,col,million metric tons of carbon dioxide,28.9
2000,ny,col,million metric tons of carbon dioxide,31.2
2000,nc,col,million metric tons of carbon dioxide,74.2
2000,nd,col,million metric tons of carbon dioxide,40.1
2000,oh,col,million metric tons of carbon dioxide,134.8
2000,ok,col,million metric tons of carbon dioxide,36.0
2000,or,col,million metric tons of carbon dioxide,3.7
2000,pa,col,million metric tons of carbon dioxide,142.0
2000,ri,col,million metric tons of carbon dioxide,0.0
2000,sc,col,million metric tons of carbon dioxide,40.8
2000,sd,col,million metric tons of carbon dioxide,4.8
2000,tn,col,million metric tons of carbon dioxide,66.6
2000,tx,col,million metric tons of carbon dioxide,146.2
2000,ut,col,million metric tons of carbon dioxide,38.0
2000,vt,col,million metric tons of carbon dioxide,0.0
2000,va,col,million metric tons of carbon dioxide,47.8
2000,wa,col,million metric tons of carbon dioxide,10.0
2000,wv,col,million metric tons of carbon dioxide,92.3
2000,wi,col,million metric tons of carbon dioxide,47.1
2000,wy,col,million metric tons of carbon dioxide,47.8
2000,us,col,million metric tons of carbon dioxide,2130.3
2001,al,col,million metric tons of carbon dioxide,79.4
2001,ak,col,million metric tons of carbon dioxide,1.5
2001,az,col,million metric tons of carbon dioxide,40.0
2001,ar,col,million metric tons of carbon dioxide,25.9
2001,ca,col,million metric tons of carbon dioxide,6.4
2001,co,col,million metric tons of carbon dioxide,37.8
2001,ct,col,million metric tons of carbon dioxide,3.8
2001,de,col,million metric tons of carbon dioxide,3.6
2001,dc,col,million metric tons of carbon dioxide,0.1
2001,fl,col,million metric tons of carbon dioxide,68.5
2001,ga,col,million metric tons of carbon dioxide,72.9
2001,hi,col,million metric tons of carbon dioxide,1.7
2001,id,col,million metric tons of carbon dioxide,1.1
2001,il,col,million metric tons of carbon dioxide,92.8
2001,in,col,million metric tons of carbon dioxide,147.6
2001,ia,col,million metric tons of carbon dioxide,41.9
2001,ks,col,million metric tons of carbon dioxide,33.5
2001,ky,col,million metric tons of carbon dioxide,95.6
2001,la,col,million metric tons of carbon dioxide,22.7
2001,me,col,million metric tons of carbon dioxide,0.7
2001,md,col,million metric tons of carbon dioxide,30.1
2001,ma,col,million metric tons of carbon dioxide,10.3
2001,mi,col,million metric tons of carbon dioxide,74.5
2001,mn,col,million metric tons of carbon dioxide,33.4
2001,ms,col,million metric tons of carbon dioxide,18.7
2001,mo,col,million metric tons of carbon dioxide,67.6
2001,mt,col,million metric tons of carbon dioxide,17.4
2001,ne,col,million metric tons of carbon dioxide,21.4
2001,nv,col,million metric tons of carbon dioxide,17.8
2001,nh,col,million metric tons of carbon dioxide,3.8
2001,nj,col,million metric tons of carbon dioxide,10.6
2001,nm,col,million metric tons of carbon dioxide,28.1
2001,ny,col,million metric tons of carbon dioxide,28.9
2001,nc,col,million metric tons of carbon dioxide,71.4
2001,nd,col,million metric tons of carbon dioxide,39.6
2001,oh,col,million metric tons of carbon dioxide,128.6
2001,ok,col,million metric tons of carbon dioxide,35.5
2001,or,col,million metric tons of carbon dioxide,4.1
2001,pa,col,million metric tons of carbon dioxide,131.0
2001,ri,col,million metric tons of carbon dioxide,0.0
2001,sc,col,million metric tons of carbon dioxide,39.1
2001,sd,col,million metric tons of carbon dioxide,4.2
2001,tn,col,million metric tons of carbon dioxide,64.9
2001,tx,col,million metric tons of carbon dioxide,141.0
2001,ut,col,million metric tons of carbon dioxide,36.3
2001,vt,col,million metric tons of carbon dioxide,0.0
2001,va,col,million metric tons of carbon dioxide,46.0
2001,wa,col,million metric tons of carbon dioxide,9.4
2001,wv,col,million metric tons of carbon dioxide,81.7
2001,wi,col,million metric tons of carbon dioxide,46.6
2001,wy,col,million metric tons of carbon dioxide,47.2
2001,us,col,million metric tons of carbon dioxide,2066.6
2002,al,col,million metric tons of carbon dioxide,79.8
2002,ak,col,million metric tons of carbon dioxide,1.5
2002,az,col,million metric tons of carbon dioxide,38.4
2002,ar,col,million metric tons of carbon dioxide,24.1
2002,ca,col,million metric tons of carbon dioxide,6.6
2002,co,col,million metric tons of carbon dioxide,36.9
2002,ct,col,million metric tons of carbon dioxide,3.2
2002,de,col,million metric tons of carbon dioxide,3.8
2002,dc,col,million metric tons of carbon dioxide,0.0
2002,fl,col,million metric tons of carbon dioxide,67.9
2002,ga,col,million metric tons of carbon dioxide,76.2
2002,hi,col,million metric tons of carbon dioxide,1.6
2002,id,col,million metric tons of carbon dioxide,1.0
2002,il,col,million metric tons of carbon dioxide,93.1
2002,in,col,million metric tons of carbon dioxide,145.5
2002,ia,col,million metric tons of carbon dioxide,41.7
2002,ks,col,million metric tons of carbon dioxide,37.0
2002,ky,col,million metric tons of carbon dioxide,89.7
2002,la,col,million metric tons of carbon dioxide,21.9
2002,me,col,million metric tons of carbon dioxide,0.8
2002,md,col,million metric tons of carbon dioxide,30.7
2002,ma,col,million metric tons of carbon dioxide,11.2
2002,mi,col,million metric tons of carbon dioxide,69.8
2002,mn,col,million metric tons of carbon dioxide,34.1
2002,ms,col,million metric tons of carbon dioxide,14.6
2002,mo,col,million metric tons of carbon dioxide,68.5
2002,mt,col,million metric tons of carbon dioxide,15.7
2002,ne,col,million metric tons of carbon dioxide,20.6
2002,nv,col,million metric tons of carbon dioxide,15.6
2002,nh,col,million metric tons of carbon dioxide,3.8
2002,nj,col,million metric tons of carbon dioxide,9.9
2002,nm,col,million metric tons of carbon dioxide,26.8
2002,ny,col,million metric tons of carbon dioxide,26.4
2002,nc,col,million metric tons of carbon dioxide,72.8
2002,nd,col,million metric tons of carbon dioxide,39.9
2002,oh,col,million metric tons of carbon dioxide,131.8
2002,ok,col,million metric tons of carbon dioxide,37.0
2002,or,col,million metric tons of carbon dioxide,3.6
2002,pa,col,million metric tons of carbon dioxide,137.1
2002,ri,col,million metric tons of carbon dioxide,0.0
2002,sc,col,million metric tons of carbon dioxide,38.2
2002,sd,col,million metric tons of carbon dioxide,3.8
2002,tn,col,million metric tons of carbon dioxide,61.9
2002,tx,col,million metric tons of carbon dioxide,146.4
2002,ut,col,million metric tons of carbon dioxide,35.0
2002,vt,col,million metric tons of carbon dioxide,0.0
2002,va,col,million metric tons of carbon dioxide,45.5
2002,wa,col,million metric tons of carbon dioxide,9.5
2002,wv,col,million metric tons of carbon dioxide,93.7
2002,wi,col,million metric tons of carbon dioxide,46.4
2002,wy,col,million metric tons of carbon dioxide,45.3
2002,us,col,million metric tons of carbon dioxide,2065.8
2003,al,col,million metric tons of carbon dioxide,82.3
2003,ak,col,million metric tons of carbon dioxide,1.2
2003,az,col,million metric tons of carbon dioxide,38.4
2003,ar,col,million metric tons of carbon dioxide,23.9
2003,ca,col,million metric tons of carbon dioxide,6.5
2003,co,col,million metric tons of carbon dioxide,37.2
2003,ct,col,million metric tons of carbon dioxide,4.0
2003,de,col,million metric tons of carbon dioxide,4.4
2003,dc,col,million metric tons of carbon dioxide,0.0
2003,fl,col,million metric tons of carbon dioxide,68.3
2003,ga,col,million metric tons of carbon dioxide,77.3
2003,hi,col,million metric tons of carbon dioxide,1.8
2003,id,col,million metric tons of carbon dioxide,1.0
2003,il,col,million metric tons of carbon dioxide,95.3
2003,in,col,million metric tons of carbon dioxide,147.6
2003,ia,col,million metric tons of carbon dioxide,41.9
2003,ks,col,million metric tons of carbon dioxide,36.8
2003,ky,col,million metric tons of carbon dioxide,89.0
2003,la,col,million metric tons of carbon dioxide,23.4
2003,me,col,million metric tons of carbon dioxide,0.7
2003,md,col,million metric tons of carbon dioxide,31.1
2003,ma,col,million metric tons of carbon dioxide,10.3
2003,mi,col,million metric tons of carbon dioxide,70.5
2003,mn,col,million metric tons of carbon dioxide,36.9
2003,ms,col,million metric tons of carbon dioxide,16.9
2003,mo,col,million metric tons of carbon dioxide,75.1
2003,mt,col,million metric tons of carbon dioxide,17.8
2003,ne,col,million metric tons of carbon dioxide,21.5
2003,nv,col,million metric tons of carbon dioxide,17.2
2003,nh,col,million metric tons of carbon dioxide,3.9
2003,nj,col,million metric tons of carbon dioxide,10.1
2003,nm,col,million metric tons of carbon dioxide,28.9
2003,ny,col,million metric tons of carbon dioxide,27.0
2003,nc,col,million metric tons of carbon dioxide,72.8
2003,nd,col,million metric tons of carbon dioxide,39.7
2003,oh,col,million metric tons of carbon dioxide,136.2
2003,ok,col,million metric tons of carbon dioxide,37.2
2003,or,col,million metric tons of carbon dioxide,4.2
2003,pa,col,million metric tons of carbon dioxide,137.5
2003,ri,col,million metric tons of carbon dioxide,0.0
2003,sc,col,million metric tons of carbon dioxide,39.6
2003,sd,col,million metric tons of carbon dioxide,4.1
2003,tn,col,million metric tons of carbon dioxide,58.6
2003,tx,col,million metric tons of carbon dioxide,151.4
2003,ut,col,million metric tons of carbon dioxide,35.8
2003,vt,col,million metric tons of carbon dioxide,0.0
2003,va,col,million metric tons of carbon dioxide,43.7
2003,wa,col,million metric tons of carbon dioxide,11.2
2003,wv,col,million metric tons of carbon dioxide,92.3
2003,wi,col,million metric tons of carbon dioxide,46.1
2003,wy,col,million metric tons of carbon dioxide,46.6
2003,us,col,million metric tons of carbon dioxide,2105.3
2004,al,col,million metric tons of carbon dioxide,80.5
2004,ak,col,million metric tons of carbon dioxide,1.3
2004,az,col,million metric tons of carbon dioxide,40.2
2004,ar,col,million metric tons of carbon dioxide,25.5
2004,ca,col,million metric tons of carbon dioxide,6.5
2004,co,col,million metric tons of carbon dioxide,36.8
2004,ct,col,million metric tons of carbon dioxide,4.2
2004,de,col,million metric tons of carbon dioxide,5.1
2004,dc,col,million metric tons of carbon dioxide,0.1
2004,fl,col,million metric tons of carbon dioxide,66.0
2004,ga,col,million metric tons of carbon dioxide,78.8
2004,hi,col,million metric tons of carbon dioxide,1.8
2004,id,col,million metric tons of carbon dioxide,1.2
2004,il,col,million metric tons of carbon dioxide,100.9
2004,in,col,million metric tons of carbon dioxide,151.7
2004,ia,col,million metric tons of carbon dioxide,41.8
2004,ks,col,million metric tons of carbon dioxide,36.4
2004,ky,col,million metric tons of carbon dioxide,90.7
2004,la,col,million metric tons of carbon dioxide,24.2
2004,me,col,million metric tons of carbon dioxide,0.7
2004,md,col,million metric tons of carbon dioxide,30.9
2004,ma,col,million metric tons of carbon dioxide,9.9
2004,mi,col,million metric tons of carbon dioxide,73.0
2004,mn,col,million metric tons of carbon dioxide,35.8
2004,ms,col,million metric tons of carbon dioxide,17.5
2004,mo,col,million metric tons of carbon dioxide,76.2
2004,mt,col,million metric tons of carbon dioxide,18.5
2004,ne,col,million metric tons of carbon dioxide,21.1
2004,nv,col,million metric tons of carbon dioxide,18.3
2004,nh,col,million metric tons of carbon dioxide,4.1
2004,nj,col,million metric tons of carbon dioxide,10.6
2004,nm,col,million metric tons of carbon dioxide,29.2
2004,ny,col,million metric tons of carbon dioxide,26.1
2004,nc,col,million metric tons of carbon dioxide,73.9
2004,nd,col,million metric tons of carbon dioxide,37.6
2004,oh,col,million metric tons of carbon dioxide,131.2
2004,ok,col,million metric tons of carbon dioxide,35.1
2004,or,col,million metric tons of carbon dioxide,3.4
2004,pa,col,million metric tons of carbon dioxide,138.6
2004,ri,col,million metric tons of carbon dioxide,0.0
2004,sc,col,million metric tons of carbon dioxide,40.9
2004,sd,col,million metric tons of carbon dioxide,4.1
2004,tn,col,million metric tons of carbon dioxide,61.1
2004,tx,col,million metric tons of carbon dioxide,153.5
2004,ut,col,million metric tons of carbon dioxide,37.7
2004,vt,col,million metric tons of carbon dioxide,0.0
2004,va,col,million metric tons of carbon dioxide,42.6
2004,wa,col,million metric tons of carbon dioxide,10.6
2004,wv,col,million metric tons of carbon dioxide,88.4
2004,wi,col,million metric tons of carbon dioxide,47.1
2004,wy,col,million metric tons of carbon dioxide,47.2
2004,us,col,million metric tons of carbon dioxide,2118.8
2005,al,col,million metric tons of carbon dioxide,84.0
2005,ak,col,million metric tons of carbon dioxide,1.3
2005,az,col,million metric tons of carbon dioxide,40.5
2005,ar,col,million metric tons of carbon dioxide,23.3
2005,ca,col,million metric tons of carbon dioxide,6.4
2005,co,col,million metric tons of carbon dioxide,36.5
2005,ct,col,million metric tons of carbon dioxide,4.0
2005,de,col,million metric tons of carbon dioxide,5.4
2005,dc,col,million metric tons of carbon dioxide,0.1
2005,fl,col,million metric tons of carbon dioxide,63.5
2005,ga,col,million metric tons of carbon dioxide,85.1
2005,hi,col,million metric tons of carbon dioxide,1.7
2005,id,col,million metric tons of carbon dioxide,1.1
2005,il,col,million metric tons of carbon dioxide,98.9
2005,in,col,million metric tons of carbon dioxide,150.2
2005,ia,col,million metric tons of carbon dioxide,40.6
2005,ks,col,million metric tons of carbon dioxide,35.9
2005,ky,col,million metric tons of carbon dioxide,93.1
2005,la,col,million metric tons of carbon dioxide,23.9
2005,me,col,million metric tons of carbon dioxide,0.7
2005,md,col,million metric tons of carbon dioxide,31.1
2005,ma,col,million metric tons of carbon dioxide,11.3
2005,mi,col,million metric tons of carbon dioxide,75.4
2005,mn,col,million metric tons of carbon dioxide,35.8
2005,ms,col,million metric tons of carbon dioxide,16.6
2005,mo,col,million metric tons of carbon dioxide,78.9
2005,mt,col,million metric tons of carbon dioxide,18.8
2005,ne,col,million metric tons of carbon dioxide,21.6
2005,nv,col,million metric tons of carbon dioxide,18.7
2005,nh,col,million metric tons of carbon dioxide,4.2
2005,nj,col,million metric tons of carbon dioxide,11.8
2005,nm,col,million metric tons of carbon dioxide,30.0
2005,ny,col,million metric tons of carbon dioxide,24.2
2005,nc,col,million metric tons of carbon dioxide,76.7
2005,nd,col,million metric tons of carbon dioxide,40.7
2005,oh,col,million metric tons of carbon dioxide,139.8
2005,ok,col,million metric tons of carbon dioxide,37.5
2005,or,col,million metric tons of carbon dioxide,3.4
2005,pa,col,million metric tons of carbon dioxide,140.5
2005,ri,col,million metric tons of carbon dioxide,0.0
2005,sc,col,million metric tons of carbon dioxide,40.7
2005,sd,col,million metric tons of carbon dioxide,3.5
2005,tn,col,million metric tons of carbon dioxide,62.1
2005,tx,col,million metric tons of carbon dioxide,153.7
2005,ut,col,million metric tons of carbon dioxide,38.3
2005,vt,col,million metric tons of carbon dioxide,0.0
2005,va,col,million metric tons of carbon dioxide,43.3
2005,wa,col,million metric tons of carbon dioxide,10.6
2005,wv,col,million metric tons of carbon dioxide,90.6
2005,wi,col,million metric tons of carbon dioxide,49.3
2005,wy,col,million metric tons of carbon dioxide,46.4
2005,us,col,million metric tons of carbon dioxide,2151.8
2006,al,col,million metric tons of carbon dioxide,83.7
2006,ak,col,million metric tons of carbon dioxide,1.4
2006,az,col,million metric tons of carbon dioxide,40.8
2006,ar,col,million metric tons of carbon dioxide,24.3
2006,ca,col,million metric tons of carbon dioxide,6.3
2006,co,col,million metric tons of carbon dioxide,37.2
2006,ct,col,million metric tons of carbon dioxide,4.3
2006,de,col,million metric tons of carbon dioxide,5.3
2006,dc,col,million metric tons of carbon dioxide,0.0
2006,fl,col,million metric tons of carbon dioxide,65.8
2006,ga,col,million metric tons of carbon dioxide,84.3
2006,hi,col,million metric tons of carbon dioxide,1.7
2006,id,col,million metric tons of carbon dioxide,0.8
2006,il,col,million metric tons of carbon dioxide,98.7
2006,in,col,million metric tons of carbon dioxide,149.6
2006,ia,col,million metric tons of carbon dioxide,41.1
2006,ks,col,million metric tons of carbon dioxide,34.4
2006,ky,col,million metric tons of carbon dioxide,96.6
2006,la,col,million metric tons of carbon dioxide,25.0
2006,me,col,million metric tons of carbon dioxide,0.6
2006,md,col,million metric tons of carbon dioxide,30.7
2006,ma,col,million metric tons of carbon dioxide,10.6
2006,mi,col,million metric tons of carbon dioxide,73.0
2006,mn,col,million metric tons of carbon dioxide,35.0
2006,ms,col,million metric tons of carbon dioxide,17.9
2006,mo,col,million metric tons of carbon dioxide,78.3
2006,mt,col,million metric tons of carbon dioxide,18.3
2006,ne,col,million metric tons of carbon dioxide,21.5
2006,nv,col,million metric tons of carbon dioxide,8.0
2006,nh,col,million metric tons of carbon dioxide,4.2
2006,nj,col,million metric tons of carbon dioxide,11.0
2006,nm,col,million metric tons of carbon dioxide,29.9
2006,ny,col,million metric tons of carbon dioxide,24.2
2006,nc,col,million metric tons of carbon dioxide,73.5
2006,nd,col,million metric tons of carbon dioxide,39.2
2006,oh,col,million metric tons of carbon dioxide,136.9
2006,ok,col,million metric tons of carbon dioxide,36.3
2006,or,col,million metric tons of carbon dioxide,2.5
2006,pa,col,million metric tons of carbon dioxide,141.3
2006,ri,col,million metric tons of carbon dioxide,0.0
2006,sc,col,million metric tons of carbon dioxide,40.8
2006,sd,col,million metric tons of carbon dioxide,3.7
2006,tn,col,million metric tons of carbon dioxide,64.0
2006,tx,col,million metric tons of carbon dioxide,152.1
2006,ut,col,million metric tons of carbon dioxide,36.2
2006,vt,col,million metric tons of carbon dioxide,0.0
2006,va,col,million metric tons of carbon dioxide,40.9
2006,wa,col,million metric tons of carbon dioxide,6.5
2006,wv,col,million metric tons of carbon dioxide,90.5
2006,wi,col,million metric tons of carbon dioxide,43.7
2006,wy,col,million metric tons of carbon dioxide,46.2
2006,us,col,million metric tons of carbon dioxide,2119.1
2007,al,col,million metric tons of carbon dioxide,83.8
2007,ak,col,million metric tons of carbon dioxide,1.3
2007,az,col,million metric tons of carbon dioxide,41.4
2007,ar,col,million metric tons of carbon dioxide,26.0
2007,ca,col,million metric tons of carbon dioxide,6.3
2007,co,col,million metric tons of carbon dioxide,36.7
2007,ct,col,million metric tons of carbon dioxide,3.8
2007,de,col,million metric tons of carbon dioxide,6.0
2007,dc,col,million metric tons of carbon dioxide,0.0
2007,fl,col,million metric tons of carbon dioxide,68.1
2007,ga,col,million metric tons of carbon dioxide,88.3
2007,hi,col,million metric tons of carbon dioxide,1.8
2007,id,col,million metric tons of carbon dioxide,1.0
2007,il,col,million metric tons of carbon dioxide,103.0
2007,in,col,million metric tons of carbon dioxide,148.2
2007,ia,col,million metric tons of carbon dioxide,43.9
2007,ks,col,million metric tons of carbon dioxide,37.4
2007,ky,col,million metric tons of carbon dioxide,96.3
2007,la,col,million metric tons of carbon dioxide,23.6
2007,me,col,million metric tons of carbon dioxide,0.6
2007,md,col,million metric tons of carbon dioxide,31.0
2007,ma,col,million metric tons of carbon dioxide,11.3
