yr,r,source,units,value
2010,co,com,million metric tons of carbon dioxide,4.2
2010,ct,com,million metric tons of carbon dioxide,3.3
2010,de,com,million metric tons of carbon dioxide,0.8
2010,dc,com,million metric tons of carbon dioxide,1.2
2010,fl,com,million metric tons of carbon dioxide,5.2
2010,ga,com,million metric tons of carbon dioxide,4.0
2010,hi,com,million metric tons of carbon dioxide,0.2
2010,id,com,million metric tons of carbon dioxide,1.1
2010,il,com,million metric tons of carbon dioxide,11.5
2010,in,com,million metric tons of carbon dioxide,5.4
2010,ia,com,million metric tons of carbon dioxide,4.1
2010,ks,com,million metric tons of carbon dioxide,2.0
2010,ky,com,million metric tons of carbon dioxide,2.4
2010,la,com,million metric tons of carbon dioxide,1.9
2010,me,com,million metric tons of carbon dioxide,1.7
2010,md,com,million metric tons of carbon dioxide,4.6
2010,ma,com,million metric tons of carbon dioxide,6.7
2010,mi,com,million metric tons of carbon dioxide,9.4
2010,mn,com,million metric tons of carbon dioxide,5.7
2010,ms,com,million metric tons of carbon dioxide,1.5
2010,mo,com,million metric tons of carbon dioxide,4.1
2010,mt,com,million metric tons of carbon dioxide,1.2
2010,ne,com,million metric tons of carbon dioxide,1.9
2010,nv,com,million metric tons of carbon dioxide,1.8
2010,nh,com,million metric tons of carbon dioxide,1.2
2010,nj,com,million metric tons of carbon dioxide,10.9
2010,nm,com,million metric tons of carbon dioxide,1.6
2010,ny,com,million metric tons of carbon dioxide,24.3
2010,nc,com,million metric tons of carbon dioxide,5.0
2010,nd,com,million metric tons of carbon dioxide,0.9
2010,oh,com,million metric tons of carbon dioxide,10.5
2010,ok,com,million metric tons of carbon dioxide,2.7
2010,or,com,million metric tons of carbon dioxide,1.9
2010,pa,com,million metric tons of carbon dioxide,10.5
2010,ri,com,million metric tons of carbon dioxide,0.9
2010,sc,com,million metric tons of carbon dioxide,1.8
2010,sd,com,million metric tons of carbon dioxide,0.8
2010,tn,com,million metric tons of carbon dioxide,3.9
2010,tx,com,million metric tons of carbon dioxide,12.1
2010,ut,com,million metric tons of carbon dioxide,2.4
2010,vt,com,million metric tons of carbon dioxide,0.6
2010,va,com,million metric tons of carbon dioxide,5.0
2010,wa,com,million metric tons of carbon dioxide,3.7
2010,wv,com,million metric tons of carbon dioxide,1.6
2010,wi,com,million metric tons of carbon dioxide,5.2
2010,wy,com,million metric tons of carbon dioxide,0.9
2010,us,com,million metric tons of carbon dioxide,219.9
2011,al,com,million metric tons of carbon dioxide,2.1
2011,ak,com,million metric tons of carbon dioxide,2.8
2011,az,com,million metric tons of carbon dioxide,2.4
2011,ar,com,million metric tons of carbon dioxide,2.5
2011,ca,com,million metric tons of carbon dioxide,15.7
2011,co,com,million metric tons of carbon dioxide,3.9
2011,ct,com,million metric tons of carbon dioxide,3.6
2011,de,com,million metric tons of carbon dioxide,0.7
2011,dc,com,million metric tons of carbon dioxide,1.0
2011,fl,com,million metric tons of carbon dioxide,4.7
2011,ga,com,million metric tons of carbon dioxide,3.8
2011,hi,com,million metric tons of carbon dioxide,0.3
2011,id,com,million metric tons of carbon dioxide,1.2
2011,il,com,million metric tons of carbon dioxide,12.4
2011,in,com,million metric tons of carbon dioxide,5.3
2011,ia,com,million metric tons of carbon dioxide,4.2
2011,ks,com,million metric tons of carbon dioxide,2.0
2011,ky,com,million metric tons of carbon dioxide,2.3
2011,la,com,million metric tons of carbon dioxide,1.9
2011,me,com,million metric tons of carbon dioxide,1.9
2011,md,com,million metric tons of carbon dioxide,4.6
2011,ma,com,million metric tons of carbon dioxide,6.3
2011,mi,com,million metric tons of carbon dioxide,9.9
2011,mn,com,million metric tons of carbon dioxide,6.0
2011,ms,com,million metric tons of carbon dioxide,1.5
2011,mo,com,million metric tons of carbon dioxide,4.0
2011,mt,com,million metric tons of carbon dioxide,1.4
2011,ne,com,million metric tons of carbon dioxide,1.9
2011,nv,com,million metric tons of carbon dioxide,1.9
2011,nh,com,million metric tons of carbon dioxide,1.4
2011,nj,com,million metric tons of carbon dioxide,11.7
2011,nm,com,million metric tons of carbon dioxide,1.5
2011,ny,com,million metric tons of carbon dioxide,24.3
2011,nc,com,million metric tons of carbon dioxide,4.3
2011,nd,com,million metric tons of carbon dioxide,1.3
2011,oh,com,million metric tons of carbon dioxide,10.6
2011,ok,com,million metric tons of carbon dioxide,2.6
2011,or,com,million metric tons of carbon dioxide,2.0
2011,pa,com,million metric tons of carbon dioxide,10.3
2011,ri,com,million metric tons of carbon dioxide,0.9
2011,sc,com,million metric tons of carbon dioxide,1.6
2011,sd,com,million metric tons of carbon dioxide,0.8
2011,tn,com,million metric tons of carbon dioxide,3.6
2011,tx,com,million metric tons of carbon dioxide,12.6
2011,ut,com,million metric tons of carbon dioxide,2.6
2011,vt,com,million metric tons of carbon dioxide,0.6
2011,va,com,million metric tons of carbon dioxide,4.6
2011,wa,com,million metric tons of carbon dioxide,3.8
2011,wv,com,million metric tons of carbon dioxide,1.6
2011,wi,com,million metric tons of carbon dioxide,5.5
2011,wy,com,million metric tons of carbon dioxide,1.1
2011,us,com,million metric tons of carbon dioxide,221.3
2012,al,com,million metric tons of carbon dioxide,1.8
2012,ak,com,million metric tons of carbon dioxide,2.6
2012,az,com,million metric tons of carbon dioxide,2.3
2012,ar,com,million metric tons of carbon dioxide,2.5
2012,ca,com,million metric tons of carbon dioxide,15.9
2012,co,com,million metric tons of carbon dioxide,3.3
2012,ct,com,million metric tons of carbon dioxide,3.2
2012,de,com,million metric tons of carbon dioxide,0.7
2012,dc,com,million metric tons of carbon dioxide,0.9
2012,fl,com,million metric tons of carbon dioxide,4.7
2012,ga,com,million metric tons of carbon dioxide,3.6
2012,hi,com,million metric tons of carbon dioxide,0.3
2012,id,com,million metric tons of carbon dioxide,1.1
2012,il,com,million metric tons of carbon dioxide,10.9
2012,in,com,million metric tons of carbon dioxide,4.6
2012,ia,com,million metric tons of carbon dioxide,3.8
2012,ks,com,million metric tons of carbon dioxide,1.6
2012,ky,com,million metric tons of carbon dioxide,2.0
2012,la,com,million metric tons of carbon dioxide,1.9
2012,me,com,million metric tons of carbon dioxide,1.6
2012,md,com,million metric tons of carbon dioxide,4.4
2012,ma,com,million metric tons of carbon dioxide,5.2
2012,mi,com,million metric tons of carbon dioxide,8.7
2012,mn,com,million metric tons of carbon dioxide,5.3
2012,ms,com,million metric tons of carbon dioxide,1.4
2012,mo,com,million metric tons of carbon dioxide,3.6
2012,mt,com,million metric tons of carbon dioxide,1.2
2012,ne,com,million metric tons of carbon dioxide,1.6
2012,nv,com,million metric tons of carbon dioxide,1.8
2012,nh,com,million metric tons of carbon dioxide,1.2
2012,nj,com,million metric tons of carbon dioxide,10.4
2012,nm,com,million metric tons of carbon dioxide,1.5
2012,ny,com,million metric tons of carbon dioxide,21.0
2012,nc,com,million metric tons of carbon dioxide,4.1
2012,nd,com,million metric tons of carbon dioxide,1.1
2012,oh,com,million metric tons of carbon dioxide,9.6
2012,ok,com,million metric tons of carbon dioxide,2.4
2012,or,com,million metric tons of carbon dioxide,1.8
2012,pa,com,million metric tons of carbon dioxide,9.0
2012,ri,com,million metric tons of carbon dioxide,0.8
2012,sc,com,million metric tons of carbon dioxide,1.6
2012,sd,com,million metric tons of carbon dioxide,0.6
2012,tn,com,million metric tons of carbon dioxide,3.1
2012,tx,com,million metric tons of carbon dioxide,11.1
2012,ut,com,million metric tons of carbon dioxide,2.3
2012,vt,com,million metric tons of carbon dioxide,0.6
2012,va,com,million metric tons of carbon dioxide,4.5
2012,wa,com,million metric tons of carbon dioxide,3.7
2012,wv,com,million metric tons of carbon dioxide,1.5
2012,wi,com,million metric tons of carbon dioxide,4.7
2012,wy,com,million metric tons of carbon dioxide,1.0
2012,us,com,million metric tons of carbon dioxide,200.4
2013,al,com,million metric tons of carbon dioxide,1.8
2013,ak,com,million metric tons of carbon dioxide,2.4
2013,az,com,million metric tons of carbon dioxide,2.4
2013,ar,com,million metric tons of carbon dioxide,2.8
2013,ca,com,million metric tons of carbon dioxide,16.0
2013,co,com,million metric tons of carbon dioxide,3.7
2013,ct,com,million metric tons of carbon dioxide,3.6
2013,de,com,million metric tons of carbon dioxide,0.8
2013,dc,com,million metric tons of carbon dioxide,1.0
2013,fl,com,million metric tons of carbon dioxide,5.1
2013,ga,com,million metric tons of carbon dioxide,4.0
2013,hi,com,million metric tons of carbon dioxide,0.3
2013,id,com,million metric tons of carbon dioxide,1.3
2013,il,com,million metric tons of carbon dioxide,13.5
2013,in,com,million metric tons of carbon dioxide,5.4
2013,ia,com,million metric tons of carbon dioxide,4.5
2013,ks,com,million metric tons of carbon dioxide,2.0
2013,ky,com,million metric tons of carbon dioxide,2.4
2013,la,com,million metric tons of carbon dioxide,1.8
2013,me,com,million metric tons of carbon dioxide,1.6
2013,md,com,million metric tons of carbon dioxide,4.7
2013,ma,com,million metric tons of carbon dioxide,6.2
2013,mi,com,million metric tons of carbon dioxide,10.3
2013,mn,com,million metric tons of carbon dioxide,6.7
2013,ms,com,million metric tons of carbon dioxide,1.4
2013,mo,com,million metric tons of carbon dioxide,4.3
2013,mt,com,million metric tons of carbon dioxide,1.3
2013,ne,com,million metric tons of carbon dioxide,2.0
2013,nv,com,million metric tons of carbon dioxide,1.9
2013,nh,com,million metric tons of carbon dioxide,1.3
2013,nj,com,million metric tons of carbon dioxide,10.5
2013,nm,com,million metric tons of carbon dioxide,1.7
2013,ny,com,million metric tons of carbon dioxide,22.6
2013,nc,com,million metric tons of carbon dioxide,4.3
2013,nd,com,million metric tons of carbon dioxide,1.5
2013,oh,com,million metric tons of carbon dioxide,10.9
2013,ok,com,million metric tons of carbon dioxide,2.8
2013,or,com,million metric tons of carbon dioxide,1.8
2013,pa,com,million metric tons of carbon dioxide,10.1
2013,ri,com,million metric tons of carbon dioxide,0.9
2013,sc,com,million metric tons of carbon dioxide,1.7
2013,sd,com,million metric tons of carbon dioxide,0.8
2013,tn,com,million metric tons of carbon dioxide,3.5
2013,tx,com,million metric tons of carbon dioxide,11.5
2013,ut,com,million metric tons of carbon dioxide,2.7
2013,vt,com,million metric tons of carbon dioxide,0.8
2013,va,com,million metric tons of carbon dioxide,4.9
2013,wa,com,million metric tons of carbon dioxide,3.8
2013,wv,com,million metric tons of carbon dioxide,1.6
2013,wi,com,million metric tons of carbon dioxide,5.8
2013,wy,com,million metric tons of carbon dioxide,1.1
2013,us,com,million metric tons of carbon dioxide,221.5
1997,al,ele,million metric tons of carbon dioxide,68.6
1997,ak,ele,million metric tons of carbon dioxide,2.7
1997,az,ele,million metric tons of carbon dioxide,35.1
1997,ar,ele,million metric tons of carbon dioxide,24.1
1997,ca,ele,million metric tons of carbon dioxide,35.8
1997,co,ele,million metric tons of carbon dioxide,34.1
1997,ct,ele,million metric tons of carbon dioxide,12.5
1997,de,ele,million metric tons of carbon dioxide,5.7
1997,dc,ele,million metric tons of carbon dioxide,0.1
1997,fl,ele,million metric tons of carbon dioxide,107.9
1997,ga,ele,million metric tons of carbon dioxide,68.8
1997,hi,ele,million metric tons of carbon dioxide,8.0
1997,id,ele,million metric tons of carbon dioxide,0.1
1997,il,ele,million metric tons of carbon dioxide,79.7
1997,in,ele,million metric tons of carbon dioxide,108.9
1997,ia,ele,million metric tons of carbon dioxide,30.3
1997,ks,ele,million metric tons of carbon dioxide,30.5
1997,ky,ele,million metric tons of carbon dioxide,84.0
1997,la,ele,million metric tons of carbon dioxide,39.1
1997,me,ele,million metric tons of carbon dioxide,1.8
1997,md,ele,million metric tons of carbon dioxide,27.8
1997,ma,ele,million metric tons of carbon dioxide,26.5
1997,mi,ele,million metric tons of carbon dioxide,71.4
1997,mn,ele,million metric tons of carbon dioxide,30.6
1997,ms,ele,million metric tons of carbon dioxide,18.0
1997,mo,ele,million metric tons of carbon dioxide,60.3
1997,mt,ele,million metric tons of carbon dioxide,15.8
1997,ne,ele,million metric tons of carbon dioxide,17.7
1997,nv,ele,million metric tons of carbon dioxide,19.5
1997,nh,ele,million metric tons of carbon dioxide,5.1
1997,nj,ele,million metric tons of carbon dioxide,17.1
1997,nm,ele,million metric tons of carbon dioxide,29.2
1997,ny,ele,million metric tons of carbon dioxide,52.7
1997,nc,ele,million metric tons of carbon dioxide,67.3
1997,nd,ele,million metric tons of carbon dioxide,28.2
1997,oh,ele,million metric tons of carbon dioxide,119.3
1997,ok,ele,million metric tons of carbon dioxide,42.6
1997,or,ele,million metric tons of carbon dioxide,2.7
1997,pa,ele,million metric tons of carbon dioxide,112.7
1997,ri,ele,million metric tons of carbon dioxide,3.4
1997,sc,ele,million metric tons of carbon dioxide,29.7
1997,sd,ele,million metric tons of carbon dioxide,3.4
1997,tn,ele,million metric tons of carbon dioxide,55.7
1997,tx,ele,million metric tons of carbon dioxide,205.4
1997,ut,ele,million metric tons of carbon dioxide,31.2
1997,vt,ele,million metric tons of carbon dioxide,0.0
1997,va,ele,million metric tons of carbon dioxide,34.7
1997,wa,ele,million metric tons of carbon dioxide,9.0
1997,wv,ele,million metric tons of carbon dioxide,82.3
1997,wi,ele,million metric tons of carbon dioxide,42.6
1997,wy,ele,million metric tons of carbon dioxide,40.0
1997,us,ele,million metric tons of carbon dioxide,2079.6
1998,al,ele,million metric tons of carbon dioxide,70.6
1998,ak,ele,million metric tons of carbon dioxide,2.9
1998,az,ele,million metric tons of carbon dioxide,37.6
1998,ar,ele,million metric tons of carbon dioxide,25.7
1998,ca,ele,million metric tons of carbon dioxide,39.4
1998,co,ele,million metric tons of carbon dioxide,35.5
1998,ct,ele,million metric tons of carbon dioxide,11.4
1998,de,ele,million metric tons of carbon dioxide,5.5
1998,dc,ele,million metric tons of carbon dioxide,0.3
1998,fl,ele,million metric tons of carbon dioxide,119.2
1998,ga,ele,million metric tons of carbon dioxide,70.3
1998,hi,ele,million metric tons of carbon dioxide,7.8
1998,id,ele,million metric tons of carbon dioxide,0.1
1998,il,ele,million metric tons of carbon dioxide,78.6
1998,in,ele,million metric tons of carbon dioxide,111.3
1998,ia,ele,million metric tons of carbon dioxide,34.2
1998,ks,ele,million metric tons of carbon dioxide,31.1
1998,ky,ele,million metric tons of carbon dioxide,84.2
1998,la,ele,million metric tons of carbon dioxide,41.4
1998,me,ele,million metric tons of carbon dioxide,2.0
1998,md,ele,million metric tons of carbon dioxide,31.1
1998,ma,ele,million metric tons of carbon dioxide,27.2
1998,mi,ele,million metric tons of carbon dioxide,76.4
1998,mn,ele,million metric tons of carbon dioxide,31.5
1998,ms,ele,million metric tons of carbon dioxide,19.7
1998,mo,ele,million metric tons of carbon dioxide,63.9
1998,mt,ele,million metric tons of carbon dioxide,18.1
1998,ne,ele,million metric tons of carbon dioxide,19.0
1998,nv,ele,million metric tons of carbon dioxide,21.5
1998,nh,ele,million metric tons of carbon dioxide,4.8
1998,nj,ele,million metric tons of carbon dioxide,16.0
1998,nm,ele,million metric tons of carbon dioxide,29.7
1998,ny,ele,million metric tons of carbon dioxide,57.1
1998,nc,ele,million metric tons of carbon dioxide,67.4
1998,nd,ele,million metric tons of carbon dioxide,30.1
1998,oh,ele,million metric tons of carbon dioxide,123.5
1998,ok,ele,million metric tons of carbon dioxide,43.3
1998,or,ele,million metric tons of carbon dioxide,6.2
1998,pa,ele,million metric tons of carbon dioxide,115.5
1998,ri,ele,million metric tons of carbon dioxide,3.3
1998,sc,ele,million metric tons of carbon dioxide,31.4
1998,sd,ele,million metric tons of carbon dioxide,3.3
1998,tn,ele,million metric tons of carbon dioxide,54.3
1998,tx,ele,million metric tons of carbon dioxide,214.7
1998,ut,ele,million metric tons of carbon dioxide,32.2
1998,vt,ele,million metric tons of carbon dioxide,0.1
1998,va,ele,million metric tons of carbon dioxide,37.0
1998,wa,ele,million metric tons of carbon dioxide,11.7
1998,wv,ele,million metric tons of carbon dioxide,83.2
1998,wi,ele,million metric tons of carbon dioxide,41.9
1998,wy,ele,million metric tons of carbon dioxide,44.5
1998,us,ele,million metric tons of carbon dioxide,2168.6
1999,al,ele,million metric tons of carbon dioxide,71.8
1999,ak,ele,million metric tons of carbon dioxide,3.0
1999,az,ele,million metric tons of carbon dioxide,39.8
1999,ar,ele,million metric tons of carbon dioxide,26.8
1999,ca,ele,million metric tons of carbon dioxide,43.3
1999,co,ele,million metric tons of carbon dioxide,35.6
1999,ct,ele,million metric tons of carbon dioxide,10.2
1999,de,ele,million metric tons of carbon dioxide,5.1
1999,dc,ele,million metric tons of carbon dioxide,0.3
1999,fl,ele,million metric tons of carbon dioxide,115.6
1999,ga,ele,million metric tons of carbon dioxide,71.6
1999,hi,ele,million metric tons of carbon dioxide,7.9
1999,id,ele,million metric tons of carbon dioxide,0.1
1999,il,ele,million metric tons of carbon dioxide,79.4
1999,in,ele,million metric tons of carbon dioxide,114.2
1999,ia,ele,million metric tons of carbon dioxide,34.2
1999,ks,ele,million metric tons of carbon dioxide,33.0
1999,ky,ele,million metric tons of carbon dioxide,86.8
1999,la,ele,million metric tons of carbon dioxide,41.3
1999,me,ele,million metric tons of carbon dioxide,3.4
1999,md,ele,million metric tons of carbon dioxide,32.0
1999,ma,ele,million metric tons of carbon dioxide,24.3
1999,mi,ele,million metric tons of carbon dioxide,75.5
1999,mn,ele,million metric tons of carbon dioxide,30.3
1999,ms,ele,million metric tons of carbon dioxide,20.8
1999,mo,ele,million metric tons of carbon dioxide,63.2
1999,mt,ele,million metric tons of carbon dioxide,18.2
1999,ne,ele,million metric tons of carbon dioxide,18.3
1999,nv,ele,million metric tons of carbon dioxide,21.5
1999,nh,ele,million metric tons of carbon dioxide,4.7
1999,nj,ele,million metric tons of carbon dioxide,16.7
1999,nm,ele,million metric tons of carbon dioxide,30.3
1999,ny,ele,million metric tons of carbon dioxide,57.6
1999,nc,ele,million metric tons of carbon dioxide,66.5
1999,nd,ele,million metric tons of carbon dioxide,30.4
1999,oh,ele,million metric tons of carbon dioxide,118.7
1999,ok,ele,million metric tons of carbon dioxide,42.1
1999,or,ele,million metric tons of carbon dioxide,6.3
1999,pa,ele,million metric tons of carbon dioxide,111.4
1999,ri,ele,million metric tons of carbon dioxide,3.0
1999,sc,ele,million metric tons of carbon dioxide,33.9
1999,sd,ele,million metric tons of carbon dioxide,3.7
1999,tn,ele,million metric tons of carbon dioxide,54.0
1999,tx,ele,million metric tons of carbon dioxide,218.8
1999,ut,ele,million metric tons of carbon dioxide,32.9
1999,vt,ele,million metric tons of carbon dioxide,0.0
1999,va,ele,million metric tons of carbon dioxide,38.5
1999,wa,ele,million metric tons of carbon dioxide,10.7
1999,wv,ele,million metric tons of carbon dioxide,85.8
1999,wi,ele,million metric tons of carbon dioxide,42.6
1999,wy,ele,million metric tons of carbon dioxide,42.7
1999,us,ele,million metric tons of carbon dioxide,2178.8
2000,al,ele,million metric tons of carbon dioxide,76.7
2000,ak,ele,million metric tons of carbon dioxide,3.2
2000,az,ele,million metric tons of carbon dioxide,44.7
2000,ar,ele,million metric tons of carbon dioxide,26.4
2000,ca,ele,million metric tons of carbon dioxide,52.9
2000,co,ele,million metric tons of carbon dioxide,39.2
2000,ct,ele,million metric tons of carbon dioxide,10.9
2000,de,ele,million metric tons of carbon dioxide,5.3
2000,dc,ele,million metric tons of carbon dioxide,0.2
2000,fl,ele,million metric tons of carbon dioxide,117.9
2000,ga,ele,million metric tons of carbon dioxide,75.5
2000,hi,ele,million metric tons of carbon dioxide,8.0
2000,id,ele,million metric tons of carbon dioxide,0.1
2000,il,ele,million metric tons of carbon dioxide,85.7
2000,in,ele,million metric tons of carbon dioxide,120.6
2000,ia,ele,million metric tons of carbon dioxide,36.0
2000,ks,ele,million metric tons of carbon dioxide,36.1
2000,ky,ele,million metric tons of carbon dioxide,88.5
2000,la,ele,million metric tons of carbon dioxide,42.7
2000,me,ele,million metric tons of carbon dioxide,3.6
2000,md,ele,million metric tons of carbon dioxide,31.1
2000,ma,ele,million metric tons of carbon dioxide,22.4
2000,mi,ele,million metric tons of carbon dioxide,73.2
2000,mn,ele,million metric tons of carbon dioxide,32.8
2000,ms,ele,million metric tons of carbon dioxide,21.3
2000,mo,ele,million metric tons of carbon dioxide,64.5
2000,mt,ele,million metric tons of carbon dioxide,17.3
2000,ne,ele,million metric tons of carbon dioxide,19.1
2000,nv,ele,million metric tons of carbon dioxide,24.9
2000,nh,ele,million metric tons of carbon dioxide,4.6
2000,nj,ele,million metric tons of carbon dioxide,19.0
2000,nm,ele,million metric tons of carbon dioxide,31.2
2000,ny,ele,million metric tons of carbon dioxide,56.7
2000,nc,ele,million metric tons of carbon dioxide,70.7
2000,nd,ele,million metric tons of carbon dioxide,30.9
2000,oh,ele,million metric tons of carbon dioxide,124.8
2000,ok,ele,million metric tons of carbon dioxide,44.3
2000,or,ele,million metric tons of carbon dioxide,7.4
2000,pa,ele,million metric tons of carbon dioxide,118.9
2000,ri,ele,million metric tons of carbon dioxide,2.7
2000,sc,ele,million metric tons of carbon dioxide,36.9
2000,sd,ele,million metric tons of carbon dioxide,3.8
2000,tn,ele,million metric tons of carbon dioxide,58.8
2000,tx,ele,million metric tons of carbon dioxide,227.6
2000,ut,ele,million metric tons of carbon dioxide,33.5
2000,vt,ele,million metric tons of carbon dioxide,0.1
2000,va,ele,million metric tons of carbon dioxide,43.1
2000,wa,ele,million metric tons of carbon dioxide,14.1
2000,wv,ele,million metric tons of carbon dioxide,84.4
2000,wi,ele,million metric tons of carbon dioxide,44.3
2000,wy,ele,million metric tons of carbon dioxide,44.0
2000,us,ele,million metric tons of carbon dioxide,2282.8
2001,al,ele,million metric tons of carbon dioxide,73.9
2001,ak,ele,million metric tons of carbon dioxide,3.3
2001,az,ele,million metric tons of carbon dioxide,46.0
2001,ar,ele,million metric tons of carbon dioxide,27.0
2001,ca,ele,million metric tons of carbon dioxide,57.8
2001,co,ele,million metric tons of carbon dioxide,41.4
2001,ct,ele,million metric tons of carbon dioxide,9.6
2001,de,ele,million metric tons of carbon dioxide,5.2
2001,dc,ele,million metric tons of carbon dioxide,0.2
2001,fl,ele,million metric tons of carbon dioxide,118.9
2001,ga,ele,million metric tons of carbon dioxide,70.2
2001,hi,ele,million metric tons of carbon dioxide,8.0
2001,id,ele,million metric tons of carbon dioxide,0.6
2001,il,ele,million metric tons of carbon dioxide,85.9
2001,in,ele,million metric tons of carbon dioxide,115.6
2001,ia,ele,million metric tons of carbon dioxide,36.1
2001,ks,ele,million metric tons of carbon dioxide,34.9
2001,ky,ele,million metric tons of carbon dioxide,89.5
2001,la,ele,million metric tons of carbon dioxide,39.4
2001,me,ele,million metric tons of carbon dioxide,5.7
2001,md,ele,million metric tons of carbon dioxide,30.4
2001,ma,ele,million metric tons of carbon dioxide,22.2
2001,mi,ele,million metric tons of carbon dioxide,72.9
2001,mn,ele,million metric tons of carbon dioxide,32.3
2001,ms,ele,million metric tons of carbon dioxide,30.7
2001,mo,ele,million metric tons of carbon dioxide,67.6
2001,mt,ele,million metric tons of carbon dioxide,18.1
2001,ne,ele,million metric tons of carbon dioxide,20.7
2001,nv,ele,million metric tons of carbon dioxide,24.3
2001,nh,ele,million metric tons of carbon dioxide,4.2
2001,nj,ele,million metric tons of carbon dioxide,18.6
2001,nm,ele,million metric tons of carbon dioxide,30.5
2001,ny,ele,million metric tons of carbon dioxide,55.8
2001,nc,ele,million metric tons of carbon dioxide,68.1
2001,nd,ele,million metric tons of carbon dioxide,30.7
2001,oh,ele,million metric tons of carbon dioxide,118.3
2001,ok,ele,million metric tons of carbon dioxide,43.8
2001,or,ele,million metric tons of carbon dioxide,8.6
2001,pa,ele,million metric tons of carbon dioxide,108.8
2001,ri,ele,million metric tons of carbon dioxide,3.2
2001,sc,ele,million metric tons of carbon dioxide,34.9
2001,sd,ele,million metric tons of carbon dioxide,3.9
2001,tn,ele,million metric tons of carbon dioxide,56.4
2001,tx,ele,million metric tons of carbon dioxide,218.9
2001,ut,ele,million metric tons of carbon dioxide,32.9
2001,vt,ele,million metric tons of carbon dioxide,0.0
2001,va,ele,million metric tons of carbon dioxide,42.6
2001,wa,ele,million metric tons of carbon dioxide,14.0
2001,wv,ele,million metric tons of carbon dioxide,74.9
2001,wi,ele,million metric tons of carbon dioxide,44.0
2001,wy,ele,million metric tons of carbon dioxide,44.0
2001,us,ele,million metric tons of carbon dioxide,2245.5
2002,al,ele,million metric tons of carbon dioxide,77.4
2002,ak,ele,million metric tons of carbon dioxide,3.3
2002,az,ele,million metric tons of carbon dioxide,45.0
2002,ar,ele,million metric tons of carbon dioxide,25.5
2002,ca,ele,million metric tons of carbon dioxide,43.7
2002,co,ele,million metric tons of carbon dioxide,40.1
2002,ct,ele,million metric tons of carbon dioxide,8.6
2002,de,ele,million metric tons of carbon dioxide,5.1
2002,dc,ele,million metric tons of carbon dioxide,0.3
2002,fl,ele,million metric tons of carbon dioxide,121.2
2002,ga,ele,million metric tons of carbon dioxide,75.0
2002,hi,ele,million metric tons of carbon dioxide,8.6
2002,id,ele,million metric tons of carbon dioxide,0.1
2002,il,ele,million metric tons of carbon dioxide,88.2
2002,in,ele,million metric tons of carbon dioxide,114.8
2002,ia,ele,million metric tons of carbon dioxide,35.8
2002,ks,ele,million metric tons of carbon dioxide,38.2
2002,ky,ele,million metric tons of carbon dioxide,89.1
2002,la,ele,million metric tons of carbon dioxide,41.5
2002,me,ele,million metric tons of carbon dioxide,5.9
2002,md,ele,million metric tons of carbon dioxide,30.8
2002,ma,ele,million metric tons of carbon dioxide,23.0
2002,mi,ele,million metric tons of carbon dioxide,71.3
2002,mn,ele,million metric tons of carbon dioxide,33.0
2002,ms,ele,million metric tons of carbon dioxide,23.2
2002,mo,ele,million metric tons of carbon dioxide,68.1
2002,mt,ele,million metric tons of carbon dioxide,16.4
2002,ne,ele,million metric tons of carbon dioxide,20.1
2002,nv,ele,million metric tons of carbon dioxide,21.1
2002,nh,ele,million metric tons of carbon dioxide,4.4
2002,nj,ele,million metric tons of carbon dioxide,19.1
2002,nm,ele,million metric tons of carbon dioxide,28.7
2002,ny,ele,million metric tons of carbon dioxide,51.5
2002,nc,ele,million metric tons of carbon dioxide,70.6
2002,nd,ele,million metric tons of carbon dioxide,31.0
2002,oh,ele,million metric tons of carbon dioxide,124.5
2002,ok,ele,million metric tons of carbon dioxide,46.2
2002,or,ele,million metric tons of carbon dioxide,6.5
2002,pa,ele,million metric tons of carbon dioxide,116.2
2002,ri,ele,million metric tons of carbon dioxide,2.9
2002,sc,ele,million metric tons of carbon dioxide,35.6
2002,sd,ele,million metric tons of carbon dioxide,3.4
2002,tn,ele,million metric tons of carbon dioxide,53.9
2002,tx,ele,million metric tons of carbon dioxide,225.3
2002,ut,ele,million metric tons of carbon dioxide,34.1
2002,vt,ele,million metric tons of carbon dioxide,0.0
2002,va,ele,million metric tons of carbon dioxide,41.7
2002,wa,ele,million metric tons of carbon dioxide,11.4
2002,wv,ele,million metric tons of carbon dioxide,86.8
2002,wi,ele,million metric tons of carbon dioxide,43.6
2002,wy,ele,million metric tons of carbon dioxide,42.5
2002,us,ele,million metric tons of carbon dioxide,2254.3
2003,al,ele,million metric tons of carbon dioxide,78.2
2003,ak,ele,million metric tons of carbon dioxide,3.0
2003,az,ele,million metric tons of carbon dioxide,46.1
2003,ar,ele,million metric tons of carbon dioxide,26.3
2003,ca,ele,million metric tons of carbon dioxide,42.7
2003,co,ele,million metric tons of carbon dioxide,40.3
2003,ct,ele,million metric tons of carbon dioxide,7.9
2003,de,ele,million metric tons of carbon dioxide,5.9
2003,dc,ele,million metric tons of carbon dioxide,0.1
2003,fl,ele,million metric tons of carbon dioxide,126.1
2003,ga,ele,million metric tons of carbon dioxide,75.1
2003,hi,ele,million metric tons of carbon dioxide,8.0
2003,id,ele,million metric tons of carbon dioxide,0.5
2003,il,ele,million metric tons of carbon dioxide,88.3
2003,in,ele,million metric tons of carbon dioxide,116.6
